date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:12:36	2227/2227	---MCZ	200	added ('OK')	application/json	date:Wed,%2009%20Jun%202021%2017:12:36%20GMT	https://pube.finance/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fpube.finance%2F	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-json/oembed/1.0/embedc5c2.json	(from https://pube.finance/)
19:12:36	2321/2321	---M-Z	200	added ('OK')	text/xml	date:Wed,%2009%20Jun%202021%2017:12:36%20GMT	https://pube.finance/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fpube.finance%2F&format=xml	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-json/oembed/1.0/embedb019	(from https://pube.finance/)
19:12:37	102718/102718	---M--	200	added ('OK')	image/png	etag:%2260aac240-1913e%22	https://pube.finance/wp-content/uploads/2021/05/Vector.png	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-content/uploads/2021/05/Vector.png	(from https://pube.finance/)
19:12:37	15592/15592	---M--	200	added ('OK')	image/png	etag:%2260aac23f-3ce8%22	https://pube.finance/wp-content/uploads/2021/05/pube-logo-150x150.png	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-content/uploads/2021/05/pube-logo-150x150.png	(from https://pube.finance/)
19:12:37	60723/60723	---M--	200	added ('OK')	image/png	etag:%2260aac23f-ed33%22	https://pube.finance/wp-content/uploads/2021/05/pube-logo-298x300.png	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-content/uploads/2021/05/pube-logo-298x300.png	(from https://pube.finance/)
19:12:37	147012/147012	---M--	200	added ('OK')	application/font-sfnt	etag:%2223e44-5c3059285d454%22	https://pube.finance/wp-content/uploads/2021/05/Mont-ExtraLightDEMO.ttf	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-content/uploads/2021/05/Mont-ExtraLightDEMO.ttf	(from https://pube.finance/)
19:12:37	145888/145888	---M--	200	added ('OK')	application/font-sfnt	etag:%22239e0-5c3059285d454%22	https://pube.finance/wp-content/uploads/2021/05/Mont-HeavyDEMO.ttf	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-content/uploads/2021/05/Mont-HeavyDEMO.ttf	(from https://pube.finance/)
19:12:38	10188/10188	---M--	200	added ('OK')	application/font-woff	etag:%2227cc-5c3059269c0c3%22	https://pube.finance/wp-content/plugins/uicore-framework/assets/fonts/uicore-icons.woff?bc5uma	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-content/plugins/uicore-framework/assets/fonts/uicore-icons0c4c.woff	(from https://pube.finance/)
19:12:38	3856/3856	---M--	200	added ('OK')	image/png	etag:%2260aac23f-f10%22	https://pube.finance/wp-content/uploads/2021/05/BscScan-logo-light.png	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-content/uploads/2021/05/BscScan-logo-light.png	(from https://pube.finance/)
19:12:38	7876/7876	---M--	200	added ('OK')	image/png	etag:%2260aac23f-1ec4%22	https://pube.finance/wp-content/uploads/2021/05/39501128-e66e2a18-4d6d-11e8-9e16-88655102da6c-1.png	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-content/uploads/2021/05/39501128-e66e2a18-4d6d-11e8-9e16-88655102da6c-1.png	(from https://pube.finance/)
19:12:39	2706/2706	---M--	200	added ('OK')	image/png	etag:%2260aac23f-a92%22	https://pube.finance/wp-content/uploads/2021/05/coingecko-logo-white-3f2aeb48e13428b7199395259dbb96280bf47ea05b2940ef7d3e87c61e4d8408.png	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-content/uploads/2021/05/coingecko-logo-white-3f2aeb48e13428b7199395259dbb96280bf47ea05b2940ef7d3e87c61e4d8408.png	(from https://pube.finance/)
19:12:39	9984/9984	---M--	200	added ('OK')	image/png	etag:%2260aac23f-2700%22	https://pube.finance/wp-content/uploads/2021/05/coinbase.d491999a12d7c093ec6cd83ad64a1e23.png	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-content/uploads/2021/05/coinbase.d491999a12d7c093ec6cd83ad64a1e23.png	(from https://pube.finance/)
19:12:39	2265567/2265567	---M--	200	added ('OK')	application/pdf	etag:%2260aac23f-2291df%22	https://pube.finance/wp-content/uploads/2021/05/PUBE-Whitepaper.pdf	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-content/uploads/2021/05/PUBE-Whitepaper.pdf	(from https://pube.finance/)
19:12:39	2263/2263	---M--	200	added ('OK')	image/jpeg	date:Thu,%2020%20May%202021%2018:52:17%20GMT	https://pbs.twimg.com/profile_images/1395452839669927938/PCiZhfBc_normal.jpg	D:/Crypto/Mes%20sites/PUBE/pbs.twimg.com/profile_images/1395452839669927938/PCiZhfBc_normal.jpg	(from https://pube.finance/)
19:12:40	2263/2263	---M--	200	added ('OK')	image/jpeg	date:Wed,%2019%20May%202021%2020:16:04%20GMT	https://pbs.twimg.com/profile_images/1395111536356638728/Rhv1fSXh_normal.jpg	D:/Crypto/Mes%20sites/PUBE/pbs.twimg.com/profile_images/1395111536356638728/Rhv1fSXh_normal.jpg	(from https://pube.finance/)
